Geneid	SRR9106183	SRR9106184	SRR9106185	SRR9106186	SRR9106187	SRR9106188	SRR9106189	SRR9106190	SRR9106191	SRR9106192	SRR9106193	SRR9106194	SRR9106195	SRR9106196	SRR9106197	SRR9106198	SRR9106199	SRR9106200	SRR9106201	SRR9106202	SRR9106203	SRR9106204	SRR9106205	SRR9106206	SRR9106207	SRR9106208	SRR9106209	SRR9106210	SRR9106211	SRR9106212	SRR9106213	SRR9106214	SRR9106215	SRR9106216	SRR9106217	SRR9106218	SRR9106219	SRR9106220	SRR9106221	SRR9106222	SRR9106223	SRR9106224	SRR9106225	SRR9106226	SRR9106227	SRR9106228	SRR9106229	SRR9106230	SRR9106231	SRR9106232	SRR9106233	SRR9106234	SRR9106235	SRR9106236	SRR9106237	SRR9106238	SRR9106239	SRR9106240	SRR9106241	SRR9106242	SRR9106243	SRR9106244	SRR9106245	SRR9106246	SRR9106247	SRR9106248	SRR9106249	SRR9106250	SRR9106251	SRR9106252	SRR9106253	SRR9106254	SRR9106255
TRINITY_DN0_c0_g6_i1.p2	8	9	8	12	11	11	4	2	0	2	2	2	0	41	36	43	49	2	1	0	1	1	0	0	0	0	20	14	18	9	0	0	3	0	0	56	59	66	8	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c13_g1_i1.p2	1	1	1	1	0	0	0	1	1	0	0	1	0	1	3	4	3	0	0	0	0	0	0	0	0	0	1	2	6	3	0	0	0	0	0	7	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c29_g1_i3.p1	19	16	12	20	21	15	12	2	3	2	4	1	0	15	30	35	25	1	1	1	1	0	0	0	1	0	12	13	29	8	5	1	2	2	0	35	31	16	3	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c29_g1_i4.p1	33	30	22	38	36	28	20	2	2	5	10	4	1	38	60	66	47	4	3	3	2	0	1	3	2	1	41	26	41	26	9	10	9	5	3	59	81	62	13	8	10	10	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c2_g2_i15.p2	10	10	6	5	7	6	6	1	4	8	6	5	1	5	4	4	5	0	2	2	1	2	2	4	2	1	9	5	6	3	6	4	2	3	1	8	7	16	1	6	3	7	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	2	1	1	1	0
TRINITY_DN0_c44_g3_i1.p1	6	2	5	3	9	8	5	1	1	2	2	0	0	21	18	26	24	5	0	0	0	0	0	0	0	0	9	11	12	4	1	1	1	0	0	39	54	44	5	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c45_g2_i1.p3	3	4	7	10	4	2	2	3	0	2	1	0	2	16	26	52	21	3	1	0	0	0	0	0	0	0	5	3	2	5	2	1	0	1	1	23	20	27	3	2	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c46_g1_i1.p1	2	7	3	0	5	3	1	1	3	3	1	1	1	11	8	14	6	1	0	0	0	0	0	0	0	0	7	6	7	5	1	0	1	0	0	27	33	22	4	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c47_g1_i1.p3	3	7	3	3	4	3	3	0	0	1	1	1	0	13	5	14	8	1	0	0	0	1	0	0	0	0	6	10	9	1	0	0	0	0	0	16	16	18	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c4_g2_i1.p2	7	0	1	1	3	0	0	0	0	1	0	0	0	0	3	3	3	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	1	1	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c52_g1_i1.p3	5	2	6	6	5	4	3	0	0	0	0	1	0	8	8	2	8	0	0	0	0	0	0	0	0	0	5	5	10	4	1	0	0	0	0	15	21	25	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c61_g1_i1.p1	2	2	7	13	4	3	8	0	2	0	1	2	0	17	14	19	15	3	1	0	0	0	0	0	0	1	4	8	5	3	0	2	0	0	0	22	26	26	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c64_g1_i1.p1	1	2	1	0	2	1	0	0	1	0	1	1	0	6	1	6	7	2	0	0	0	0	0	0	0	0	4	5	1	1	0	1	1	0	0	16	7	13	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c75_g1_i1.p1	4	0	0	1	3	1	1	0	0	0	1	0	0	4	3	8	6	0	0	0	0	0	0	0	0	0	2	6	1	1	1	0	0	1	0	13	16	14	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c7_g1_i2.p3	6	2	2	3	3	3	1	2	0	0	0	1	1	5	5	1	3	0	1	0	2	0	0	0	0	0	5	1	7	4	1	2	1	0	0	11	12	6	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c7_g1_i3.p2	3	6	4	3	2	1	2	3	0	0	1	6	1	5	4	1	9	1	1	0	2	1	0	0	0	0	8	3	9	4	0	1	1	0	0	4	5	4	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c7_g1_i5.p2	5	4	1	0	0	3	1	1	0	0	2	1	1	2	3	3	3	0	0	0	1	0	0	1	1	0	4	3	4	4	0	3	0	0	0	7	5	7	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c7_g1_i6.p2	2	3	3	3	1	1	1	1	0	0	1	3	1	3	3	0	7	1	1	0	1	1	0	0	0	0	6	1	6	4	0	0	1	0	0	2	2	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN0_c85_g1_i1.p2	0	2	0	0	0	1	2	0	0	0	0	1	0	6	3	4	5	0	0	0	0	0	0	0	0	0	3	1	4	2	2	0	0	0	0	8	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1000_c0_g1_i2.p2	1	3	1	2	1	0	3	1	0	0	0	2	3	2	2	1	1	0	0	0	0	0	0	0	0	0	4	3	10	1	1	1	0	1	1	10	8	6	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1000_c0_g1_i9.p3	0	5	0	2	2	1	2	0	0	1	0	1	0	1	3	0	0	0	0	0	0	0	0	1	0	0	5	4	12	1	1	0	2	1	1	9	16	7	0	1	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1000_c1_g1_i10.p2	4	2	1	1	2	3	5	0	0	0	0	1	1	4	10	8	17	0	0	1	0	0	0	0	0	0	1	3	5	2	0	0	3	0	0	8	3	8	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1000_c1_g1_i14.p1	5	7	7	3	2	4	0	0	0	1	0	0	1	6	8	4	6	0	0	0	0	0	0	0	0	0	5	2	2	0	0	0	0	0	0	5	9	8	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1000_c1_g1_i6.p3	4	2	1	1	2	3	5	0	0	0	0	1	1	4	10	8	17	0	0	1	0	0	0	0	0	0	1	3	5	2	0	0	3	0	0	8	3	8	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1000_c1_g2_i1.p4	0	0	1	1	1	2	2	0	0	0	0	0	0	3	5	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	10	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1001_c0_g1_i10.p4	18	21	19	33	27	36	12	13	9	9	11	6	1	4	4	6	7	0	0	0	0	0	0	2	0	0	2	0	4	1	2	4	0	2	0	2	2	1	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1001_c0_g1_i3.p1	9	9	8	19	13	18	4	10	3	5	4	5	1	2	3	3	3	0	0	0	0	0	0	0	0	0	2	0	3	1	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1001_c0_g1_i7.p1	18	17	9	15	10	21	10	6	4	5	8	3	0	1	0	0	4	0	0	0	0	0	0	3	0	0	1	0	0	1	1	1	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1001_c0_g1_i9.p2	23	19	20	18	33	18	16	2	4	5	8	3	0	2	2	0	4	1	0	0	0	0	0	0	0	1	2	0	1	1	2	2	2	2	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN100245_c0_g1_i1.p1	2	4	0	0	0	2	1	0	0	0	2	0	0	0	0	2	0	0	4	0	0	2	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN10024_c0_g1_i4.p2	1	0	0	0	1	2	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	3	0	1	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1002_c0_g1_i14.p1	4	9	3	5	13	2	2	1	5	5	0	1	0	5	2	7	5	1	0	0	0	0	1	0	2	0	11	10	8	7	1	1	0	2	0	7	4	16	4	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN1002_c0_g1_i17.p1	8	2	3	1	6	3	5	2	0	0	1	0	1	4	7	6	3	1	0	0	0	0	0	1	0	0	3	3	2	3	1	0	0	1	1	7	10	8	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
