gene,count
B3GNT5,1
ZNF37A,1
CDH2,1
DDO,1
PPP2R2B,1
CA4,1
FLNC,1
NGF,1
ACADL,1
TUBA1D,1
AMOT,1
EBP,1
MECR,1
PTPRM,1
ALPL,1
PFKP,1
SPINT1,1
RAB13,1
S100A9,1
CDC20,1
PRICKLE1,1
FBP2,1
SELP,1
AMPD1,1
DKK4,1
MAP1B,1
NOS1,1
SLITRK6,1
IL12B,1
EPHA1,1
MEIS1,1
CXCL13,1
RHOD,1
MGAT3,1
FREM1,1
CFL2,1
RASA2,1
HCN3,1
MPV17L,1
LRAT,1
BCL11B,1
TNFRSF9,1
BCAT2,1
ACTN2,1
ABLIM3,1
CTNND2,1
HKDC1,1
HSD11B1,1
NAIP,1
MST1,1
HOGA1,1
HES4,1
OXTR,1
RAC3,1
HOMER2,1
MAP3K13,1
SGPP2,1
CA6,1
FGF18,1
SEMA5A,1
MAG,1
POLB,1
CSF1,1
EHD3,1
MCM2,1
F11,1
WWC1,1
MST1R,1
ADCY3,1
CNTNAP1,1
RASGRF1,1
APLN,1
ETV5,1
DAAM2,1
CLU,1
EPHX2,1
GSTM3,1
SLC22A5,1
SEMA6A,1
FHL2,1
FRAT2,1
SORBS1,1
FCER1A,1
MYBPC3,1
TUBB3,1
TOB1,1
FUT1,1
GUK1,1
RAMP3,1
RASSF6,1
APOB,1
MYCN,1
PTGS1,1
DPF3,1
ELOVL7,1
PNMT,1
PHLPP1,1
GSS,1
WASF3,1
VAV2,1
CCNE2,1
INHBE,1
NAPSA,1
AGPAT4,1
PLCB1,1
CHDH,1
CYP2R1,1
ANGPT2,1
TPM1,1
LAMB3,1
