ID,count
ENSBTAG00000000085,3
ENSBTAG00000012398,3
ENSBTAG00000025942,3
ENSBTAG00000011424,3
ENSBTAG00000015361,3
ENSBTAG00000034501,3
ENSBTAG00000022449,3
ENSBTAG00000022000,3
ENSBTAG00000025210,3
ENSBTAG00000030246,3
ENSBTAG00000019234,3
ENSBTAG00000021333,3
ENSBTAG00000014372,3
ENSBTAG00000014912,3
ENSBTAG00000016738,3
ENSBTAG00000011110,3
ENSBTAG00000011409,3
ENSBTAG00000011558,3
ENSBTAG00000012285,3
ENSBTAG00000012403,3
ENSBTAG00000013333,3
ENSBTAG00000015366,3
ENSBTAG00000006326,3
ENSBTAG00000018773,3
ENSBTAG00000021808,3
ENSBTAG00000005859,3
ENSBTAG00000010444,3
ENSBTAG00000016515,3
ENSBTAG00000010543,3
ENSBTAG00000012212,3
ENSBTAG00000000057,3
ENSBTAG00000000140,3
ENSBTAG00000008934,3
ENSBTAG00000021819,3
ENSBTAG00000011534,3
ENSBTAG00000017753,3
ENSBTAG00000000603,3
ENSBTAG00000015988,3
ENSBTAG00000009851,3
ENSBTAG00000009223,3
ENSBTAG00000030425,3
ENSBTAG00000007584,3
ENSBTAG00000014863,3
ENSBTAG00000010671,3
ENSBTAG00000011628,3
ENSBTAG00000015525,3
ENSBTAG00000010483,3
ENSBTAG00000013107,3
ENSBTAG00000010163,2
ENSBTAG00000010874,2
ENSBTAG00000034077,2
ENSBTAG00000008718,2
ENSBTAG00000006732,2
ENSBTAG00000004739,2
ENSBTAG00000006779,2
ENSBTAG00000000013,2
ENSBTAG00000008717,2
ENSBTAG00000002823,2
ENSBTAG00000037539,2
ENSBTAG00000017826,2
ENSBTAG00000016835,2
ENSBTAG00000007602,2
ENSBTAG00000019210,2
ENSBTAG00000018473,2
ENSBTAG00000001004,2
ENSBTAG00000001675,2
ENSBTAG00000025124,2
ENSBTAG00000012866,2
ENSBTAG00000006366,2
ENSBTAG00000014357,2
ENSBTAG00000019495,2
ENSBTAG00000046158,2
ENSBTAG00000002843,2
ENSBTAG00000006882,2
ENSBTAG00000005464,2
ENSBTAG00000007169,2
ENSBTAG00000020824,2
ENSBTAG00000018198,2
ENSBTAG00000018987,2
ENSBTAG00000000936,2
ENSBTAG00000018493,2
ENSBTAG00000001927,2
ENSBTAG00000002019,2
ENSBTAG00000016991,2
ENSBTAG00000017063,2
ENSBTAG00000021601,2
ENSBTAG00000011524,2
ENSBTAG00000012647,2
ENSBTAG00000016276,2
ENSBTAG00000008197,2
ENSBTAG00000008650,2
ENSBTAG00000011962,2
ENSBTAG00000005725,2
ENSBTAG00000001112,2
ENSBTAG00000001573,2
ENSBTAG00000007766,2
ENSBTAG00000007783,2
ENSBTAG00000005104,2
ENSBTAG00000039340,2
ENSBTAG00000014791,2
ENSBTAG00000016275,2
ENSBTAG00000018530,2
ENSBTAG00000008434,2
ENSBTAG00000048365,2
ENSBTAG00000017086,2
ENSBTAG00000045625,2
ENSBTAG00000006589,2
ENSBTAG00000010875,2
ENSBTAG00000015618,2
ENSBTAG00000002215,2
ENSBTAG00000021971,2
ENSBTAG00000004112,2
ENSBTAG00000014429,2
ENSBTAG00000007307,2
ENSBTAG00000007047,2
ENSBTAG00000014177,2
ENSBTAG00000019498,2
ENSBTAG00000011359,2
ENSBTAG00000021887,2
ENSBTAG00000021933,2
ENSBTAG00000039772,2
ENSBTAG00000006686,2
ENSBTAG00000019125,2
ENSBTAG00000000251,2
ENSBTAG00000018307,2
ENSBTAG00000022635,2
ENSBTAG00000017239,2
ENSBTAG00000055207,2
ENSBTAG00000017697,2
ENSBTAG00000010529,2
ENSBTAG00000002835,2
ENSBTAG00000008464,2
ENSBTAG00000021273,2
ENSBTAG00000021191,2
ENSBTAG00000012780,2
ENSBTAG00000000231,2
ENSBTAG00000001032,2
ENSBTAG00000004178,2
ENSBTAG00000008966,2
ENSBTAG00000018169,2
ENSBTAG00000021518,2
ENSBTAG00000002606,2
ENSBTAG00000009607,2
ENSBTAG00000006143,2
ENSBTAG00000013303,2
ENSBTAG00000012628,2
ENSBTAG00000003887,2
ENSBTAG00000017442,2
ENSBTAG00000016800,2
ENSBTAG00000025405,2
ENSBTAG00000018704,2
ENSBTAG00000010357,2
ENSBTAG00000018749,2
ENSBTAG00000000160,2
ENSBTAG00000002015,2
ENSBTAG00000033398,1
ENSBTAG00000014208,1
ENSBTAG00000014915,1
ENSBTAG00000019225,1
ENSBTAG00000021420,1
ENSBTAG00000013227,1
ENSBTAG00000021408,1
ENSBTAG00000001286,1
ENSBTAG00000018652,1
ENSBTAG00000020141,1
ENSBTAG00000021798,1
ENSBTAG00000010027,1
ENSBTAG00000010419,1
ENSBTAG00000011034,1
ENSBTAG00000005373,1
ENSBTAG00000014619,1
ENSBTAG00000013880,1
ENSBTAG00000015046,1
ENSBTAG00000018705,1
ENSBTAG00000019097,1
ENSBTAG00000019940,1
ENSBTAG00000019993,1
ENSBTAG00000020600,1
ENSBTAG00000021381,1
ENSBTAG00000004511,1
ENSBTAG00000004906,1
ENSBTAG00000006599,1
ENSBTAG00000006780,1
ENSBTAG00000007668,1
ENSBTAG00000008338,1
ENSBTAG00000016542,1
ENSBTAG00000045832,1
ENSBTAG00000003504,1
ENSBTAG00000005574,1
ENSBTAG00000015241,1
ENSBTAG00000025458,1
ENSBTAG00000007704,1
ENSBTAG00000011731,1
ENSBTAG00000014775,1
ENSBTAG00000000668,1
ENSBTAG00000020489,1
ENSBTAG00000001086,1
ENSBTAG00000020704,1
ENSBTAG00000011935,1
ENSBTAG00000008505,1
ENSBTAG00000023372,1
ENSBTAG00000006716,1
ENSBTAG00000014426,1
ENSBTAG00000030650,1
ENSBTAG00000003658,1
ENSBTAG00000012031,1
ENSBTAG00000003313,1
ENSBTAG00000009172,1
ENSBTAG00000001842,1
ENSBTAG00000047520,1
ENSBTAG00000017167,1
ENSBTAG00000018019,1
